Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-17C1CDC7-F3E,ACCT-9A1CD464,1987-10-26,-6.14,TRANSFER,Txn Ref 574564,Phone
TXN-1952E073-1F3,ACCT-D772E674,2004-01-11,5073.78,INTEREST,Txn Ref 502337,ATM
TXN-12F38AF3-DB7,ACCT-B048AE42,2004-08-06,-2832.64,FEE,Txn Ref 380902,ATM
TXN-B1A6E385-8C1,ACCT-9A1CD464,1998-06-16,4898.46,FEE,Txn Ref 366902,Phone
TXN-A984C6BF-182,ACCT-7CF7DAE8,2000-12-02,5526.95,DEBIT,Txn Ref 610737,Branch
TXN-E960E51A-B5F,ACCT-2F477C35,1989-02-17,9362.71,INTEREST,Txn Ref 429164,Cheque
TXN-B5D68E3E-BA3,ACCT-4D64A011,1990-02-04,698.18,FEE,Txn Ref 689042,Cheque
TXN-FD6C6846-049,ACCT-BBB6E873,1998-03-20,5125.31,FEE,Txn Ref 447190,Phone
TXN-13F23581-142,ACCT-F792DA6E,2003-10-16,2699.71,CREDIT,Txn Ref 325041,Cheque
TXN-80E6CC51-E18,ACCT-B3ECABB4,2004-03-01,-1828.88,DEBIT,Txn Ref 733094,Branch
TXN-AEEA0FC0-C0F,ACCT-A312B274,1994-03-11,-1444.1,FEE,Txn Ref 262359,ATM
TXN-206C25CC-E48,ACCT-6F8AC63E,1989-04-22,-1020.73,FEE,Txn Ref 257164,ATM
TXN-148CAF93-54B,ACCT-78B10235,1987-10-17,2874.58,INTEREST,Txn Ref 395517,Branch
TXN-852DF0EE-3BC,ACCT-B3ECABB4,1997-12-25,6782.69,FEE,Txn Ref 557028,ATM
TXN-35798142-A42,ACCT-8619EDB1,2005-05-27,7385.59,TRANSFER,Txn Ref 620684,Branch
TXN-6D994B4C-47E,ACCT-6DF3CFA4,1994-08-31,8965.03,TRANSFER,Txn Ref 816599,ATM
TXN-A77569A5-67D,ACCT-55A69613,1994-04-16,5477.44,FEE,Txn Ref 334667,Cheque
TXN-0D9E63B6-273,ACCT-97806591,2001-05-06,4815.11,INTEREST,Txn Ref 129634,ATM
TXN-532F3D54-E07,ACCT-159A97EE,1998-12-06,5515.28,FEE,Txn Ref 816510,Phone
TXN-9F64B266-7AA,ACCT-88A482FB,1986-03-02,3205.8,DEBIT,Txn Ref 486002,Branch
TXN-4E9073B4-1D6,ACCT-27DB4E5F,2002-06-06,9044.95,DEBIT,Txn Ref 923468,ATM
TXN-C41D5056-FB0,ACCT-8E2DD8FE,2001-02-17,3479.09,DEBIT,Txn Ref 341474,ATM
TXN-EB584EAE-44E,ACCT-A9531F51,1992-11-28,-958.36,TRANSFER,Txn Ref 951471,Branch
TXN-5E01F428-8F6,ACCT-790D06D8,1997-02-09,-2383.71,CREDIT,Txn Ref 459009,Branch
TXN-FC617856-308,ACCT-8F1E629D,1997-08-26,1235.42,TRANSFER,Txn Ref 152476,Phone
TXN-705D20BB-933,ACCT-5791CAA8,1986-07-21,-3366.92,TRANSFER,Txn Ref 701716,Branch
TXN-2CAB3151-076,ACCT-9E7ACDA7,2000-09-14,1483.8,FEE,Txn Ref 214812,Branch
TXN-4680AA30-379,ACCT-7C9E3728,1999-07-11,-1394.4,INTEREST,Txn Ref 717385,Cheque
TXN-DD0012FC-243,ACCT-DBFAA7B2,2004-11-02,7039.39,INTEREST,Txn Ref 614309,Cheque
TXN-B3C5C30E-7A1,ACCT-C3697294,1996-02-10,1057.01,DEBIT,Txn Ref 183779,Cheque
TXN-0BFF8355-DE7,ACCT-047A6AF9,2005-08-20,369.62,DEBIT,Txn Ref 866688,Phone
TXN-03F1E56B-F3B,ACCT-87E64748,1986-10-30,3578.2,CREDIT,Txn Ref 603438,Phone
TXN-1BF13C88-1C1,ACCT-CF0ADCA9,1987-05-12,-3589.27,INTEREST,Txn Ref 570491,Phone
TXN-F9CE1180-363,ACCT-062B7F07,1999-09-02,-4257.1,INTEREST,Txn Ref 916881,Cheque
TXN-23ACFDBA-4F8,ACCT-C15ABBBD,1995-12-26,-4377.17,DEBIT,Txn Ref 328917,Phone
TXN-25ABA377-D93,ACCT-85B122A4,1993-12-05,-4645.07,DEBIT,Txn Ref 365366,Branch
TXN-218423EF-AE3,ACCT-883AF8D2,1992-07-22,9282.33,INTEREST,Txn Ref 120394,Branch
TXN-C645B8C7-E7A,ACCT-02CE59AD,1993-05-01,2161.29,CREDIT,Txn Ref 300893,Cheque
TXN-92787BE1-FC4,ACCT-9311D736,1985-08-31,1977.12,FEE,Txn Ref 397697,Phone
TXN-E171E727-368,ACCT-751A0340,2005-04-22,5818.39,TRANSFER,Txn Ref 139011,Phone
TXN-C1304AF4-130,ACCT-A285A56D,1991-03-23,-152.11,INTEREST,Txn Ref 903546,Branch
TXN-F9EB7F95-723,ACCT-A3EBC622,1992-10-22,24.89,TRANSFER,Txn Ref 240829,Phone
TXN-E51C022E-1C2,ACCT-2C7EFFC6,1990-09-29,-225.81,FEE,Txn Ref 776846,Phone
TXN-A5F093CB-16B,ACCT-938EEC12,2003-08-10,697.81,INTEREST,Txn Ref 738877,Cheque
TXN-C41D2683-9F2,ACCT-5D91B3F8,1985-12-12,5056.6,TRANSFER,Txn Ref 504895,ATM
TXN-A7CF80D9-223,ACCT-9B41C41F,1996-06-05,5212.27,CREDIT,Txn Ref 629240,ATM
TXN-2A1F3B6C-537,ACCT-4CCA96CE,1992-10-13,-2839.67,FEE,Txn Ref 483189,Branch
TXN-C50E3CC3-F96,ACCT-61BC430B,1992-08-10,-2559.47,CREDIT,Txn Ref 814584,Branch
TXN-112747C5-4C3,ACCT-01F69F2E,2002-04-29,6080.32,INTEREST,Txn Ref 568929,Cheque
TXN-C662B9E6-EE5,ACCT-B4DEC269,2000-02-07,-3145.71,TRANSFER,Txn Ref 331992,Cheque
