TransactionID,Date,Type,Amount,Description,Balance
TXN0860000,2025-05-26,PAYMENT,879.47,Electric Bill,38781.87
TXN0860001,2025-05-27,PAYMENT,176.16,Electric Bill,38605.71
TXN0860002,2025-05-28,DEBIT,477.71,Transfer to Savings,38128.0
TXN0860003,2025-05-29,CREDIT,814.58,Transfer to Savings,38942.58
TXN0860004,2025-05-30,CREDIT,895.07,Transfer to Savings,39837.65
TXN0860005,2025-05-31,PAYMENT,790.19,Amazon,39047.46
TXN0860006,2025-06-01,DEBIT,932.23,Electric Bill,38115.23
TXN0860007,2025-06-02,PAYMENT,715.07,Salary,37400.16
TXN0860008,2025-06-03,TRANSFER,483.93,Transfer to Savings,37884.09
TXN0860009,2025-06-04,PAYMENT,397.91,Coffee Shop,37486.18
TXN0860010,2025-06-05,PAYMENT,351.87,Amazon,37134.31
TXN0860011,2025-06-06,DEBIT,758.34,Transfer to Savings,36375.97
TXN0860012,2025-06-07,CREDIT,555.88,Salary,36931.85
TXN0860013,2025-06-08,CREDIT,544.73,Amazon,37476.58
TXN0860014,2025-06-09,PAYMENT,902.0,Electric Bill,36574.58
TXN0860015,2025-06-10,DEBIT,722.32,Electric Bill,35852.26
TXN0860016,2025-06-11,CREDIT,662.87,Walmart,36515.13
TXN0860017,2025-06-12,DEBIT,435.89,Restaurant,36079.24
TXN0860018,2025-06-13,PAYMENT,144.13,Restaurant,35935.11
TXN0860019,2025-06-14,PAYMENT,982.08,Salary,34953.03
TXN0860020,2025-06-15,DEBIT,695.29,Restaurant,34257.74
TXN0860021,2025-06-16,DEBIT,874.45,Walmart,33383.29
TXN0860022,2025-06-17,TRANSFER,441.77,Salary,33825.06
TXN0860023,2025-06-18,TRANSFER,68.72,Coffee Shop,33893.78
TXN0860024,2025-06-19,PAYMENT,873.43,Restaurant,33020.35
TXN0860025,2025-06-20,CREDIT,33.37,Restaurant,33053.72
