TransactionID,Date,Type,Amount,Description,Balance
TXN0570000,2025-02-25,CREDIT,570.55,Restaurant,48432.86
TXN0570001,2025-02-26,CREDIT,166.26,Coffee Shop,48599.12
TXN0570002,2025-02-27,CREDIT,586.9,Electric Bill,49186.02
TXN0570003,2025-02-28,PAYMENT,255.3,Coffee Shop,48930.72
TXN0570004,2025-03-01,CREDIT,264.25,Transfer to Savings,49194.97
TXN0570005,2025-03-02,TRANSFER,450.81,Walmart,49645.78
TXN0570006,2025-03-03,CREDIT,728.63,Walmart,50374.41
TXN0570007,2025-03-04,CREDIT,500.64,Electric Bill,50875.05
TXN0570008,2025-03-05,CREDIT,274.63,Walmart,51149.68
TXN0570009,2025-03-06,TRANSFER,174.83,Coffee Shop,51324.51
TXN0570010,2025-03-07,CREDIT,615.67,Amazon,51940.18
TXN0570011,2025-03-08,PAYMENT,595.93,Coffee Shop,51344.25
TXN0570012,2025-03-09,TRANSFER,263.47,Coffee Shop,51607.72
TXN0570013,2025-03-10,CREDIT,61.42,Amazon,51669.14
TXN0570014,2025-03-11,PAYMENT,490.51,Restaurant,51178.63
TXN0570015,2025-03-12,CREDIT,850.07,Transfer to Savings,52028.7
TXN0570016,2025-03-13,DEBIT,110.34,Amazon,51918.36
TXN0570017,2025-03-14,TRANSFER,459.15,Salary,52377.51
TXN0570018,2025-03-15,CREDIT,792.48,Coffee Shop,53169.99
TXN0570019,2025-03-16,TRANSFER,201.98,Coffee Shop,53371.97
TXN0570020,2025-03-17,TRANSFER,888.85,Amazon,54260.82
TXN0570021,2025-03-18,PAYMENT,611.06,Walmart,53649.76
TXN0570022,2025-03-19,CREDIT,800.35,Restaurant,54450.11
TXN0570023,2025-03-20,CREDIT,86.42,Restaurant,54536.53
TXN0570024,2025-03-21,TRANSFER,196.34,Coffee Shop,54732.87
TXN0570025,2025-03-22,TRANSFER,651.06,Walmart,55383.93
TXN0570026,2025-03-23,DEBIT,498.72,Amazon,54885.21
TXN0570027,2025-03-24,PAYMENT,983.23,Coffee Shop,53901.98
TXN0570028,2025-03-25,TRANSFER,390.92,Transfer to Savings,54292.9
TXN0570029,2025-03-26,TRANSFER,158.87,Transfer to Savings,54451.77
TXN0570030,2025-03-27,CREDIT,185.48,Amazon,54637.25
TXN0570031,2025-03-28,PAYMENT,970.66,Amazon,53666.59
TXN0570032,2025-03-29,PAYMENT,703.64,Restaurant,52962.95
TXN0570033,2025-03-30,TRANSFER,582.03,Amazon,53544.98
TXN0570034,2025-03-31,DEBIT,814.06,Transfer to Savings,52730.92
TXN0570035,2025-04-01,TRANSFER,875.29,Electric Bill,53606.21
TXN0570036,2025-04-02,DEBIT,671.14,Coffee Shop,52935.07
TXN0570037,2025-04-03,TRANSFER,632.54,Transfer to Savings,53567.61
TXN0570038,2025-04-04,PAYMENT,330.13,Electric Bill,53237.48
TXN0570039,2025-04-05,TRANSFER,94.7,Salary,53332.18
TXN0570040,2025-04-06,DEBIT,406.27,Restaurant,52925.91
TXN0570041,2025-04-07,TRANSFER,873.03,Electric Bill,53798.94
TXN0570042,2025-04-08,PAYMENT,874.89,Coffee Shop,52924.05
TXN0570043,2025-04-09,TRANSFER,717.48,Restaurant,53641.53
TXN0570044,2025-04-10,DEBIT,654.92,Coffee Shop,52986.61
TXN0570045,2025-04-11,TRANSFER,921.26,Amazon,53907.87
TXN0570046,2025-04-12,PAYMENT,955.29,Salary,52952.58
TXN0570047,2025-04-13,TRANSFER,135.59,Amazon,53088.17
TXN0570048,2025-04-14,DEBIT,615.3,Salary,52472.87
TXN0570049,2025-04-15,CREDIT,500.13,Coffee Shop,52973.0
