TransactionID,Date,Type,Amount,Description,Balance
TXN0420000,2025-02-24,CREDIT,897.77,Coffee Shop,30268.69
TXN0420001,2025-02-25,PAYMENT,648.91,Coffee Shop,29619.78
TXN0420002,2025-02-26,TRANSFER,442.31,Restaurant,30062.09
TXN0420003,2025-02-27,DEBIT,615.99,Amazon,29446.1
TXN0420004,2025-02-28,DEBIT,944.9,Restaurant,28501.2
TXN0420005,2025-03-01,TRANSFER,399.02,Coffee Shop,28900.22
TXN0420006,2025-03-02,CREDIT,459.83,Walmart,29360.05
TXN0420007,2025-03-03,CREDIT,333.26,Electric Bill,29693.31
TXN0420008,2025-03-04,TRANSFER,343.28,Amazon,30036.59
TXN0420009,2025-03-05,PAYMENT,523.24,Electric Bill,29513.35
TXN0420010,2025-03-06,PAYMENT,978.85,Amazon,28534.5
TXN0420011,2025-03-07,TRANSFER,387.0,Electric Bill,28921.5
TXN0420012,2025-03-08,PAYMENT,579.11,Amazon,28342.39
TXN0420013,2025-03-09,TRANSFER,945.99,Amazon,29288.38
TXN0420014,2025-03-10,DEBIT,258.56,Restaurant,29029.82
TXN0420015,2025-03-11,TRANSFER,984.5,Electric Bill,30014.32
TXN0420016,2025-03-12,DEBIT,935.25,Restaurant,29079.07
TXN0420017,2025-03-13,TRANSFER,147.25,Transfer to Savings,29226.32
TXN0420018,2025-03-14,TRANSFER,198.51,Amazon,29424.83
TXN0420019,2025-03-15,CREDIT,414.3,Electric Bill,29839.13
TXN0420020,2025-03-16,DEBIT,631.18,Amazon,29207.95
TXN0420021,2025-03-17,DEBIT,653.62,Transfer to Savings,28554.33
TXN0420022,2025-03-18,DEBIT,153.98,Electric Bill,28400.35
TXN0420023,2025-03-19,DEBIT,710.81,Transfer to Savings,27689.54
TXN0420024,2025-03-20,CREDIT,521.28,Amazon,28210.82
