TransactionID,Date,Type,Amount,Description,Balance
TXN0550000,2025-07-16,PAYMENT,273.42,Restaurant,11708.0
TXN0550001,2025-07-17,TRANSFER,291.44,Amazon,11999.44
TXN0550002,2025-07-18,CREDIT,529.71,Coffee Shop,12529.15
TXN0550003,2025-07-19,CREDIT,26.12,Transfer to Savings,12555.27
TXN0550004,2025-07-20,TRANSFER,473.42,Restaurant,13028.69
TXN0550005,2025-07-21,PAYMENT,45.07,Amazon,12983.62
TXN0550006,2025-07-22,PAYMENT,661.65,Restaurant,12321.97
TXN0550007,2025-07-23,PAYMENT,700.73,Restaurant,11621.24
TXN0550008,2025-07-24,TRANSFER,42.64,Salary,11663.88
TXN0550009,2025-07-25,PAYMENT,93.5,Walmart,11570.38
TXN0550010,2025-07-26,TRANSFER,471.16,Walmart,12041.54
TXN0550011,2025-07-27,DEBIT,59.28,Transfer to Savings,11982.26
TXN0550012,2025-07-28,CREDIT,289.89,Walmart,12272.15
TXN0550013,2025-07-29,CREDIT,411.05,Salary,12683.2
TXN0550014,2025-07-30,CREDIT,140.01,Coffee Shop,12823.21
TXN0550015,2025-07-31,PAYMENT,956.17,Transfer to Savings,11867.04
TXN0550016,2025-08-01,DEBIT,83.98,Coffee Shop,11783.06
TXN0550017,2025-08-02,DEBIT,659.14,Amazon,11123.92
TXN0550018,2025-08-03,CREDIT,744.91,Amazon,11868.83
TXN0550019,2025-08-04,PAYMENT,939.08,Salary,10929.75
TXN0550020,2025-08-05,CREDIT,683.02,Walmart,11612.77
TXN0550021,2025-08-06,DEBIT,663.94,Walmart,10948.83
TXN0550022,2025-08-07,CREDIT,686.5,Restaurant,11635.33
TXN0550023,2025-08-08,TRANSFER,271.58,Salary,11906.91
TXN0550024,2025-08-09,DEBIT,33.94,Amazon,11872.97
TXN0550025,2025-08-10,DEBIT,772.41,Electric Bill,11100.56
TXN0550026,2025-08-11,DEBIT,934.79,Restaurant,10165.77
TXN0550027,2025-08-12,DEBIT,912.12,Electric Bill,9253.65
TXN0550028,2025-08-13,CREDIT,787.72,Walmart,10041.37
TXN0550029,2025-08-14,PAYMENT,108.44,Coffee Shop,9932.93
TXN0550030,2025-08-15,TRANSFER,807.85,Electric Bill,10740.78
TXN0550031,2025-08-16,TRANSFER,171.4,Amazon,10912.18
TXN0550032,2025-08-17,PAYMENT,286.56,Transfer to Savings,10625.62
TXN0550033,2025-08-18,CREDIT,839.36,Salary,11464.98
TXN0550034,2025-08-19,DEBIT,791.83,Transfer to Savings,10673.15
TXN0550035,2025-08-20,PAYMENT,24.33,Amazon,10648.82
TXN0550036,2025-08-21,TRANSFER,572.71,Restaurant,11221.53
TXN0550037,2025-08-22,TRANSFER,388.13,Electric Bill,11609.66
TXN0550038,2025-08-23,PAYMENT,13.38,Coffee Shop,11596.28
TXN0550039,2025-08-24,CREDIT,845.55,Amazon,12441.83
TXN0550040,2025-08-25,DEBIT,199.45,Transfer to Savings,12242.38
TXN0550041,2025-08-26,PAYMENT,256.79,Transfer to Savings,11985.59
TXN0550042,2025-08-27,PAYMENT,57.37,Salary,11928.22
TXN0550043,2025-08-28,CREDIT,510.12,Walmart,12438.34
TXN0550044,2025-08-29,CREDIT,841.75,Transfer to Savings,13280.09
TXN0550045,2025-08-30,TRANSFER,839.16,Electric Bill,14119.25
