TransactionID,Date,Type,Amount,Description,Balance
TXN0450000,2025-12-19,CREDIT,614.28,Amazon,41094.17
TXN0450001,2025-12-20,DEBIT,128.85,Amazon,40965.32
TXN0450002,2025-12-21,PAYMENT,277.4,Salary,40687.92
TXN0450003,2025-12-22,TRANSFER,516.72,Electric Bill,41204.64
TXN0450004,2025-12-23,DEBIT,258.52,Transfer to Savings,40946.12
TXN0450005,2025-12-24,DEBIT,773.16,Amazon,40172.96
TXN0450006,2025-12-25,CREDIT,288.92,Salary,40461.88
TXN0450007,2025-12-26,PAYMENT,217.7,Transfer to Savings,40244.18
TXN0450008,2025-12-27,DEBIT,739.52,Salary,39504.66
TXN0450009,2025-12-28,PAYMENT,106.62,Transfer to Savings,39398.04
TXN0450010,2025-12-29,DEBIT,318.49,Coffee Shop,39079.55
TXN0450011,2025-12-30,PAYMENT,946.74,Amazon,38132.81
TXN0450012,2025-12-31,DEBIT,11.67,Electric Bill,38121.14
TXN0450013,2026-01-01,CREDIT,82.47,Amazon,38203.61
TXN0450014,2026-01-02,DEBIT,491.01,Walmart,37712.6
TXN0450015,2026-01-03,DEBIT,264.26,Salary,37448.34
TXN0450016,2026-01-04,DEBIT,251.98,Restaurant,37196.36
TXN0450017,2026-01-05,TRANSFER,903.0,Restaurant,38099.36
TXN0450018,2026-01-06,TRANSFER,488.12,Coffee Shop,38587.48
TXN0450019,2026-01-07,PAYMENT,902.9,Transfer to Savings,37684.58
TXN0450020,2026-01-08,CREDIT,329.65,Electric Bill,38014.23
TXN0450021,2026-01-09,TRANSFER,637.62,Transfer to Savings,38651.85
TXN0450022,2026-01-10,TRANSFER,603.5,Coffee Shop,39255.35
TXN0450023,2026-01-11,CREDIT,720.77,Restaurant,39976.12
TXN0450024,2026-01-12,PAYMENT,49.37,Amazon,39926.75
TXN0450025,2026-01-13,CREDIT,659.44,Amazon,40586.19
TXN0450026,2026-01-14,TRANSFER,571.48,Coffee Shop,41157.67
TXN0450027,2026-01-15,CREDIT,338.69,Electric Bill,41496.36
TXN0450028,2026-01-16,PAYMENT,570.8,Walmart,40925.56
TXN0450029,2026-01-17,DEBIT,169.67,Walmart,40755.89
TXN0450030,2026-01-18,CREDIT,22.78,Restaurant,40778.67
TXN0450031,2026-01-19,TRANSFER,172.29,Salary,40950.96
TXN0450032,2026-01-20,CREDIT,96.07,Electric Bill,41047.03
TXN0450033,2026-01-21,PAYMENT,320.83,Coffee Shop,40726.2
TXN0450034,2026-01-22,CREDIT,902.99,Electric Bill,41629.19
TXN0450035,2026-01-23,TRANSFER,602.67,Salary,42231.86
