TransactionID,Date,Type,Amount,Description,Balance
TXN0720000,2025-11-25,PAYMENT,174.47,Electric Bill,10107.33
TXN0720001,2025-11-26,TRANSFER,944.66,Electric Bill,11051.99
TXN0720002,2025-11-27,CREDIT,390.61,Salary,11442.6
TXN0720003,2025-11-28,CREDIT,531.44,Amazon,11974.04
TXN0720004,2025-11-29,DEBIT,306.57,Electric Bill,11667.47
TXN0720005,2025-11-30,CREDIT,486.17,Transfer to Savings,12153.64
TXN0720006,2025-12-01,TRANSFER,71.74,Coffee Shop,12225.38
TXN0720007,2025-12-02,CREDIT,159.9,Salary,12385.28
TXN0720008,2025-12-03,DEBIT,81.48,Transfer to Savings,12303.8
TXN0720009,2025-12-04,CREDIT,34.95,Amazon,12338.75
TXN0720010,2025-12-05,CREDIT,872.34,Transfer to Savings,13211.09
TXN0720011,2025-12-06,CREDIT,497.29,Restaurant,13708.38
TXN0720012,2025-12-07,DEBIT,887.93,Transfer to Savings,12820.45
TXN0720013,2025-12-08,PAYMENT,389.06,Transfer to Savings,12431.39
TXN0720014,2025-12-09,TRANSFER,500.28,Amazon,12931.67
TXN0720015,2025-12-10,PAYMENT,136.42,Coffee Shop,12795.25
TXN0720016,2025-12-11,TRANSFER,116.65,Coffee Shop,12911.9
TXN0720017,2025-12-12,DEBIT,246.56,Amazon,12665.34
TXN0720018,2025-12-13,CREDIT,843.52,Coffee Shop,13508.86
TXN0720019,2025-12-14,TRANSFER,135.09,Transfer to Savings,13643.95
TXN0720020,2025-12-15,CREDIT,316.66,Walmart,13960.61
TXN0720021,2025-12-16,DEBIT,133.52,Coffee Shop,13827.09
TXN0720022,2025-12-17,PAYMENT,666.85,Restaurant,13160.24
