TransactionID,Date,Type,Amount,Description,Balance
TXN0080000,2025-04-27,PAYMENT,107.32,Electric Bill,48698.54
TXN0080001,2025-04-28,CREDIT,174.56,Coffee Shop,48873.1
TXN0080002,2025-04-29,PAYMENT,818.03,Amazon,48055.07
TXN0080003,2025-04-30,PAYMENT,502.62,Restaurant,47552.45
TXN0080004,2025-05-01,TRANSFER,853.62,Transfer to Savings,48406.07
TXN0080005,2025-05-02,DEBIT,819.87,Walmart,47586.2
TXN0080006,2025-05-03,CREDIT,635.65,Restaurant,48221.85
TXN0080007,2025-05-04,CREDIT,341.6,Walmart,48563.45
TXN0080008,2025-05-05,DEBIT,112.42,Amazon,48451.03
TXN0080009,2025-05-06,PAYMENT,91.63,Walmart,48359.4
TXN0080010,2025-05-07,DEBIT,775.35,Electric Bill,47584.05
TXN0080011,2025-05-08,DEBIT,939.14,Transfer to Savings,46644.91
TXN0080012,2025-05-09,TRANSFER,988.63,Amazon,47633.54
TXN0080013,2025-05-10,DEBIT,260.69,Coffee Shop,47372.85
TXN0080014,2025-05-11,PAYMENT,257.91,Electric Bill,47114.94
TXN0080015,2025-05-12,TRANSFER,365.69,Restaurant,47480.63
TXN0080016,2025-05-13,CREDIT,312.31,Electric Bill,47792.94
TXN0080017,2025-05-14,TRANSFER,882.23,Amazon,48675.17
TXN0080018,2025-05-15,PAYMENT,793.06,Amazon,47882.11
TXN0080019,2025-05-16,PAYMENT,252.85,Amazon,47629.26
TXN0080020,2025-05-17,TRANSFER,419.61,Coffee Shop,48048.87
TXN0080021,2025-05-18,CREDIT,596.81,Walmart,48645.68
TXN0080022,2025-05-19,DEBIT,637.67,Restaurant,48008.01
TXN0080023,2025-05-20,PAYMENT,440.7,Coffee Shop,47567.31
TXN0080024,2025-05-21,CREDIT,229.56,Transfer to Savings,47796.87
TXN0080025,2025-05-22,TRANSFER,911.41,Transfer to Savings,48708.28
TXN0080026,2025-05-23,PAYMENT,260.01,Amazon,48448.27
