TransactionID,Date,Type,Amount,Description,Balance
TXN0330000,2025-11-30,PAYMENT,991.52,Transfer to Savings,22376.37
TXN0330001,2025-12-01,DEBIT,764.88,Amazon,21611.49
TXN0330002,2025-12-02,PAYMENT,743.4,Walmart,20868.09
TXN0330003,2025-12-03,CREDIT,653.47,Restaurant,21521.56
TXN0330004,2025-12-04,DEBIT,669.4,Electric Bill,20852.16
TXN0330005,2025-12-05,PAYMENT,606.12,Electric Bill,20246.04
TXN0330006,2025-12-06,DEBIT,503.12,Restaurant,19742.92
TXN0330007,2025-12-07,PAYMENT,59.03,Transfer to Savings,19683.89
TXN0330008,2025-12-08,CREDIT,165.35,Salary,19849.24
TXN0330009,2025-12-09,TRANSFER,127.97,Walmart,19977.21
TXN0330010,2025-12-10,PAYMENT,88.96,Restaurant,19888.25
TXN0330011,2025-12-11,DEBIT,387.31,Restaurant,19500.94
TXN0330012,2025-12-12,PAYMENT,461.71,Transfer to Savings,19039.23
TXN0330013,2025-12-13,PAYMENT,925.53,Salary,18113.7
TXN0330014,2025-12-14,DEBIT,184.48,Coffee Shop,17929.22
TXN0330015,2025-12-15,CREDIT,738.41,Salary,18667.63
TXN0330016,2025-12-16,PAYMENT,279.97,Salary,18387.66
TXN0330017,2025-12-17,DEBIT,966.34,Electric Bill,17421.32
TXN0330018,2025-12-18,TRANSFER,185.15,Restaurant,17606.47
TXN0330019,2025-12-19,CREDIT,794.62,Coffee Shop,18401.09
TXN0330020,2025-12-20,CREDIT,767.17,Salary,19168.26
TXN0330021,2025-12-21,PAYMENT,755.58,Electric Bill,18412.68
TXN0330022,2025-12-22,CREDIT,463.82,Electric Bill,18876.5
TXN0330023,2025-12-23,TRANSFER,23.97,Coffee Shop,18900.47
TXN0330024,2025-12-24,PAYMENT,872.31,Amazon,18028.16
TXN0330025,2025-12-25,CREDIT,888.8,Transfer to Savings,18916.96
TXN0330026,2025-12-26,TRANSFER,678.57,Restaurant,19595.53
TXN0330027,2025-12-27,TRANSFER,912.27,Electric Bill,20507.8
