TransactionID,Date,Type,Amount,Description,Balance
TXN0700000,2025-11-05,PAYMENT,627.39,Coffee Shop,11108.27
TXN0700001,2025-11-06,TRANSFER,388.82,Transfer to Savings,11497.09
TXN0700002,2025-11-07,TRANSFER,208.5,Transfer to Savings,11705.59
TXN0700003,2025-11-08,DEBIT,435.13,Restaurant,11270.46
TXN0700004,2025-11-09,DEBIT,811.29,Salary,10459.17
TXN0700005,2025-11-10,TRANSFER,895.02,Walmart,11354.19
TXN0700006,2025-11-11,TRANSFER,66.65,Electric Bill,11420.84
TXN0700007,2025-11-12,DEBIT,588.46,Electric Bill,10832.38
TXN0700008,2025-11-13,DEBIT,941.68,Walmart,9890.7
TXN0700009,2025-11-14,CREDIT,563.01,Amazon,10453.71
