TransactionID,Date,Type,Amount,Description,Balance
TXN0050000,2025-10-11,TRANSFER,753.33,Amazon,48156.42
TXN0050001,2025-10-12,PAYMENT,443.49,Amazon,47712.93
TXN0050002,2025-10-13,DEBIT,159.2,Electric Bill,47553.73
TXN0050003,2025-10-14,TRANSFER,551.34,Walmart,48105.07
TXN0050004,2025-10-15,TRANSFER,32.65,Transfer to Savings,48137.72
TXN0050005,2025-10-16,CREDIT,802.0,Walmart,48939.72
TXN0050006,2025-10-17,TRANSFER,297.84,Coffee Shop,49237.56
TXN0050007,2025-10-18,TRANSFER,77.39,Restaurant,49314.95
TXN0050008,2025-10-19,PAYMENT,80.68,Transfer to Savings,49234.27
TXN0050009,2025-10-20,CREDIT,19.06,Coffee Shop,49253.33
TXN0050010,2025-10-21,CREDIT,454.78,Electric Bill,49708.11
TXN0050011,2025-10-22,CREDIT,780.19,Salary,50488.3
TXN0050012,2025-10-23,TRANSFER,116.94,Salary,50605.24
TXN0050013,2025-10-24,DEBIT,898.38,Salary,49706.86
TXN0050014,2025-10-25,PAYMENT,270.72,Amazon,49436.14
TXN0050015,2025-10-26,PAYMENT,125.82,Walmart,49310.32
TXN0050016,2025-10-27,DEBIT,889.26,Salary,48421.06
TXN0050017,2025-10-28,CREDIT,441.92,Walmart,48862.98
TXN0050018,2025-10-29,DEBIT,798.16,Walmart,48064.82
TXN0050019,2025-10-30,CREDIT,36.71,Transfer to Savings,48101.53
TXN0050020,2025-10-31,TRANSFER,811.27,Amazon,48912.8
TXN0050021,2025-11-01,CREDIT,651.41,Salary,49564.21
TXN0050022,2025-11-02,DEBIT,932.56,Walmart,48631.65
TXN0050023,2025-11-03,DEBIT,137.73,Salary,48493.92
TXN0050024,2025-11-04,PAYMENT,261.29,Amazon,48232.63
TXN0050025,2025-11-05,PAYMENT,291.96,Salary,47940.67
TXN0050026,2025-11-06,TRANSFER,657.41,Restaurant,48598.08
TXN0050027,2025-11-07,CREDIT,100.91,Coffee Shop,48698.99
TXN0050028,2025-11-08,CREDIT,92.94,Coffee Shop,48791.93
TXN0050029,2025-11-09,DEBIT,565.24,Walmart,48226.69
