TransactionID,Date,Type,Amount,Description,Balance
TXN0680000,2025-03-12,DEBIT,592.38,Electric Bill,32480.83
TXN0680001,2025-03-13,DEBIT,776.51,Transfer to Savings,31704.32
TXN0680002,2025-03-14,PAYMENT,87.7,Transfer to Savings,31616.62
TXN0680003,2025-03-15,CREDIT,336.91,Coffee Shop,31953.53
TXN0680004,2025-03-16,CREDIT,635.75,Coffee Shop,32589.28
TXN0680005,2025-03-17,DEBIT,147.94,Restaurant,32441.34
TXN0680006,2025-03-18,CREDIT,59.71,Coffee Shop,32501.05
TXN0680007,2025-03-19,PAYMENT,989.94,Coffee Shop,31511.11
TXN0680008,2025-03-20,PAYMENT,21.39,Coffee Shop,31489.72
TXN0680009,2025-03-21,CREDIT,401.75,Restaurant,31891.47
TXN0680010,2025-03-22,PAYMENT,682.54,Coffee Shop,31208.93
