TransactionID,Date,Type,Amount,Description,Balance
TXN0810000,2025-03-08,CREDIT,510.16,Restaurant,12565.8
TXN0810001,2025-03-09,TRANSFER,909.44,Walmart,13475.24
TXN0810002,2025-03-10,PAYMENT,937.27,Electric Bill,12537.97
TXN0810003,2025-03-11,PAYMENT,701.65,Amazon,11836.32
TXN0810004,2025-03-12,DEBIT,537.33,Coffee Shop,11298.99
TXN0810005,2025-03-13,CREDIT,781.98,Coffee Shop,12080.97
TXN0810006,2025-03-14,DEBIT,430.06,Walmart,11650.91
TXN0810007,2025-03-15,PAYMENT,904.87,Salary,10746.04
TXN0810008,2025-03-16,CREDIT,901.78,Amazon,11647.82
TXN0810009,2025-03-17,DEBIT,394.16,Amazon,11253.66
TXN0810010,2025-03-18,TRANSFER,478.75,Salary,11732.41
TXN0810011,2025-03-19,PAYMENT,117.49,Walmart,11614.92
TXN0810012,2025-03-20,DEBIT,917.27,Coffee Shop,10697.65
TXN0810013,2025-03-21,DEBIT,77.34,Restaurant,10620.31
TXN0810014,2025-03-22,DEBIT,673.26,Transfer to Savings,9947.05
TXN0810015,2025-03-23,CREDIT,408.58,Walmart,10355.63
TXN0810016,2025-03-24,PAYMENT,268.42,Walmart,10087.21
TXN0810017,2025-03-25,TRANSFER,603.43,Restaurant,10690.64
TXN0810018,2025-03-26,TRANSFER,794.04,Transfer to Savings,11484.68
TXN0810019,2025-03-27,CREDIT,165.92,Restaurant,11650.6
TXN0810020,2025-03-28,DEBIT,728.5,Restaurant,10922.1
TXN0810021,2025-03-29,DEBIT,551.06,Walmart,10371.04
TXN0810022,2025-03-30,TRANSFER,822.1,Amazon,11193.14
TXN0810023,2025-03-31,TRANSFER,82.98,Electric Bill,11276.12
TXN0810024,2025-04-01,PAYMENT,398.67,Walmart,10877.45
TXN0810025,2025-04-02,PAYMENT,86.81,Electric Bill,10790.64
TXN0810026,2025-04-03,PAYMENT,441.24,Salary,10349.4
TXN0810027,2025-04-04,DEBIT,343.03,Restaurant,10006.37
