TransactionID,Date,Type,Amount,Description,Balance
TXN0350000,2025-05-17,CREDIT,754.25,Transfer to Savings,48552.98
TXN0350001,2025-05-18,CREDIT,481.86,Electric Bill,49034.84
TXN0350002,2025-05-19,PAYMENT,787.48,Restaurant,48247.36
TXN0350003,2025-05-20,CREDIT,710.52,Coffee Shop,48957.88
TXN0350004,2025-05-21,CREDIT,815.97,Coffee Shop,49773.85
TXN0350005,2025-05-22,DEBIT,646.33,Electric Bill,49127.52
TXN0350006,2025-05-23,CREDIT,974.66,Amazon,50102.18
TXN0350007,2025-05-24,CREDIT,738.3,Amazon,50840.48
TXN0350008,2025-05-25,PAYMENT,11.38,Amazon,50829.1
TXN0350009,2025-05-26,PAYMENT,600.75,Amazon,50228.35
TXN0350010,2025-05-27,CREDIT,304.94,Electric Bill,50533.29
TXN0350011,2025-05-28,PAYMENT,423.21,Coffee Shop,50110.08
TXN0350012,2025-05-29,TRANSFER,882.95,Electric Bill,50993.03
TXN0350013,2025-05-30,DEBIT,495.08,Coffee Shop,50497.95
TXN0350014,2025-05-31,TRANSFER,363.87,Coffee Shop,50861.82
TXN0350015,2025-06-01,PAYMENT,309.46,Transfer to Savings,50552.36
TXN0350016,2025-06-02,TRANSFER,286.51,Amazon,50838.87
TXN0350017,2025-06-03,TRANSFER,195.23,Restaurant,51034.1
TXN0350018,2025-06-04,CREDIT,567.09,Transfer to Savings,51601.19
TXN0350019,2025-06-05,DEBIT,271.75,Amazon,51329.44
TXN0350020,2025-06-06,DEBIT,385.93,Coffee Shop,50943.51
