TransactionID,Date,Type,Amount,Description,Balance
TXN0830000,2025-11-16,TRANSFER,666.04,Transfer to Savings,35403.13
TXN0830001,2025-11-17,PAYMENT,954.21,Electric Bill,34448.92
TXN0830002,2025-11-18,PAYMENT,691.6,Restaurant,33757.32
TXN0830003,2025-11-19,CREDIT,737.56,Salary,34494.88
TXN0830004,2025-11-20,PAYMENT,800.86,Electric Bill,33694.02
TXN0830005,2025-11-21,TRANSFER,354.47,Salary,34048.49
TXN0830006,2025-11-22,DEBIT,396.28,Amazon,33652.21
TXN0830007,2025-11-23,TRANSFER,202.38,Amazon,33854.59
TXN0830008,2025-11-24,DEBIT,959.26,Transfer to Savings,32895.33
TXN0830009,2025-11-25,DEBIT,481.12,Walmart,32414.21
TXN0830010,2025-11-26,CREDIT,212.74,Amazon,32626.95
TXN0830011,2025-11-27,DEBIT,927.45,Electric Bill,31699.5
TXN0830012,2025-11-28,DEBIT,606.2,Electric Bill,31093.3
TXN0830013,2025-11-29,DEBIT,459.09,Amazon,30634.21
TXN0830014,2025-11-30,DEBIT,369.64,Walmart,30264.57
TXN0830015,2025-12-01,TRANSFER,409.43,Coffee Shop,30674.0
TXN0830016,2025-12-02,DEBIT,383.0,Coffee Shop,30291.0
TXN0830017,2025-12-03,TRANSFER,629.84,Coffee Shop,30920.84
TXN0830018,2025-12-04,PAYMENT,705.15,Coffee Shop,30215.69
TXN0830019,2025-12-05,TRANSFER,312.28,Coffee Shop,30527.97
TXN0830020,2025-12-06,DEBIT,888.82,Coffee Shop,29639.15
TXN0830021,2025-12-07,DEBIT,101.19,Transfer to Savings,29537.96
TXN0830022,2025-12-08,PAYMENT,104.02,Coffee Shop,29433.94
TXN0830023,2025-12-09,PAYMENT,833.35,Amazon,28600.59
TXN0830024,2025-12-10,CREDIT,430.6,Amazon,29031.19
TXN0830025,2025-12-11,TRANSFER,334.23,Amazon,29365.42
TXN0830026,2025-12-12,TRANSFER,255.8,Amazon,29621.22
TXN0830027,2025-12-13,CREDIT,496.95,Coffee Shop,30118.17
TXN0830028,2025-12-14,PAYMENT,79.65,Transfer to Savings,30038.52
TXN0830029,2025-12-15,CREDIT,341.85,Electric Bill,30380.37
TXN0830030,2025-12-16,TRANSFER,155.09,Restaurant,30535.46
TXN0830031,2025-12-17,CREDIT,104.71,Coffee Shop,30640.17
TXN0830032,2025-12-18,DEBIT,791.34,Walmart,29848.83
TXN0830033,2025-12-19,TRANSFER,45.89,Electric Bill,29894.72
TXN0830034,2025-12-20,TRANSFER,872.66,Walmart,30767.38
TXN0830035,2025-12-21,PAYMENT,548.75,Walmart,30218.63
TXN0830036,2025-12-22,CREDIT,979.28,Walmart,31197.91
