TransactionID,Date,Type,Amount,Description,Balance
TXN0610000,2025-07-06,TRANSFER,787.4,Walmart,34140.81
TXN0610001,2025-07-07,DEBIT,70.6,Coffee Shop,34070.21
TXN0610002,2025-07-08,DEBIT,19.75,Transfer to Savings,34050.46
TXN0610003,2025-07-09,PAYMENT,645.44,Coffee Shop,33405.02
TXN0610004,2025-07-10,CREDIT,915.73,Restaurant,34320.75
TXN0610005,2025-07-11,DEBIT,486.0,Amazon,33834.75
TXN0610006,2025-07-12,CREDIT,752.8,Restaurant,34587.55
TXN0610007,2025-07-13,CREDIT,350.76,Transfer to Savings,34938.31
TXN0610008,2025-07-14,TRANSFER,478.62,Transfer to Savings,35416.93
TXN0610009,2025-07-15,PAYMENT,547.83,Transfer to Savings,34869.1
TXN0610010,2025-07-16,DEBIT,899.9,Coffee Shop,33969.2
TXN0610011,2025-07-17,PAYMENT,496.77,Walmart,33472.43
TXN0610012,2025-07-18,CREDIT,723.68,Restaurant,34196.11
TXN0610013,2025-07-19,DEBIT,941.0,Walmart,33255.11
TXN0610014,2025-07-20,TRANSFER,191.84,Amazon,33446.95
TXN0610015,2025-07-21,PAYMENT,481.53,Restaurant,32965.42
TXN0610016,2025-07-22,PAYMENT,814.21,Amazon,32151.21
TXN0610017,2025-07-23,TRANSFER,15.12,Walmart,32166.33
TXN0610018,2025-07-24,TRANSFER,479.95,Restaurant,32646.28
TXN0610019,2025-07-25,DEBIT,999.75,Salary,31646.53
TXN0610020,2025-07-26,CREDIT,528.04,Walmart,32174.57
TXN0610021,2025-07-27,TRANSFER,822.35,Salary,32996.92
TXN0610022,2025-07-28,DEBIT,490.14,Electric Bill,32506.78
TXN0610023,2025-07-29,CREDIT,877.25,Amazon,33384.03
TXN0610024,2025-07-30,TRANSFER,756.96,Salary,34140.99
TXN0610025,2025-07-31,PAYMENT,725.83,Amazon,33415.16
TXN0610026,2025-08-01,CREDIT,127.73,Coffee Shop,33542.89
TXN0610027,2025-08-02,PAYMENT,613.55,Salary,32929.34
TXN0610028,2025-08-03,DEBIT,813.04,Salary,32116.3
TXN0610029,2025-08-04,TRANSFER,914.02,Walmart,33030.32
TXN0610030,2025-08-05,PAYMENT,94.24,Amazon,32936.08
TXN0610031,2025-08-06,TRANSFER,289.17,Amazon,33225.25
TXN0610032,2025-08-07,DEBIT,956.61,Salary,32268.64
TXN0610033,2025-08-08,DEBIT,275.01,Electric Bill,31993.63
TXN0610034,2025-08-09,PAYMENT,43.82,Transfer to Savings,31949.81
TXN0610035,2025-08-10,DEBIT,255.69,Transfer to Savings,31694.12
TXN0610036,2025-08-11,PAYMENT,428.51,Amazon,31265.61
TXN0610037,2025-08-12,PAYMENT,828.55,Amazon,30437.06
TXN0610038,2025-08-13,TRANSFER,323.05,Coffee Shop,30760.11
TXN0610039,2025-08-14,TRANSFER,946.59,Coffee Shop,31706.7
TXN0610040,2025-08-15,TRANSFER,445.6,Electric Bill,32152.3
TXN0610041,2025-08-16,PAYMENT,908.17,Salary,31244.13
TXN0610042,2025-08-17,TRANSFER,964.86,Restaurant,32208.99
