TransactionID,Date,Type,Amount,Description,Balance
TXN0530000,2025-06-24,DEBIT,437.6,Salary,39824.57
TXN0530001,2025-06-25,DEBIT,431.13,Restaurant,39393.44
TXN0530002,2025-06-26,CREDIT,457.42,Walmart,39850.86
TXN0530003,2025-06-27,TRANSFER,497.73,Coffee Shop,40348.59
TXN0530004,2025-06-28,TRANSFER,598.02,Amazon,40946.61
TXN0530005,2025-06-29,TRANSFER,269.74,Coffee Shop,41216.35
TXN0530006,2025-06-30,DEBIT,19.6,Transfer to Savings,41196.75
TXN0530007,2025-07-01,PAYMENT,998.07,Coffee Shop,40198.68
TXN0530008,2025-07-02,PAYMENT,26.27,Coffee Shop,40172.41
TXN0530009,2025-07-03,DEBIT,376.29,Electric Bill,39796.12
TXN0530010,2025-07-04,PAYMENT,764.68,Coffee Shop,39031.44
TXN0530011,2025-07-05,TRANSFER,952.32,Coffee Shop,39983.76
TXN0530012,2025-07-06,PAYMENT,74.72,Coffee Shop,39909.04
TXN0530013,2025-07-07,PAYMENT,846.67,Salary,39062.37
TXN0530014,2025-07-08,TRANSFER,498.76,Amazon,39561.13
TXN0530015,2025-07-09,TRANSFER,964.03,Walmart,40525.16
TXN0530016,2025-07-10,TRANSFER,973.75,Restaurant,41498.91
TXN0530017,2025-07-11,TRANSFER,362.63,Coffee Shop,41861.54
TXN0530018,2025-07-12,CREDIT,994.7,Walmart,42856.24
TXN0530019,2025-07-13,TRANSFER,445.19,Coffee Shop,43301.43
TXN0530020,2025-07-14,CREDIT,254.44,Salary,43555.87
TXN0530021,2025-07-15,PAYMENT,458.13,Amazon,43097.74
TXN0530022,2025-07-16,TRANSFER,437.2,Amazon,43534.94
TXN0530023,2025-07-17,TRANSFER,258.17,Coffee Shop,43793.11
TXN0530024,2025-07-18,TRANSFER,913.15,Transfer to Savings,44706.26
TXN0530025,2025-07-19,TRANSFER,601.16,Amazon,45307.42
TXN0530026,2025-07-20,DEBIT,612.64,Electric Bill,44694.78
TXN0530027,2025-07-21,TRANSFER,634.07,Walmart,45328.85
TXN0530028,2025-07-22,DEBIT,948.53,Electric Bill,44380.32
TXN0530029,2025-07-23,TRANSFER,454.74,Walmart,44835.06
TXN0530030,2025-07-24,PAYMENT,911.16,Electric Bill,43923.9
TXN0530031,2025-07-25,PAYMENT,289.47,Coffee Shop,43634.43
TXN0530032,2025-07-26,DEBIT,962.5,Walmart,42671.93
TXN0530033,2025-07-27,PAYMENT,574.95,Salary,42096.98
TXN0530034,2025-07-28,TRANSFER,239.98,Transfer to Savings,42336.96
TXN0530035,2025-07-29,DEBIT,547.2,Electric Bill,41789.76
TXN0530036,2025-07-30,TRANSFER,890.32,Walmart,42680.08
TXN0530037,2025-07-31,TRANSFER,279.95,Transfer to Savings,42960.03
TXN0530038,2025-08-01,TRANSFER,63.63,Restaurant,43023.66
TXN0530039,2025-08-02,PAYMENT,458.78,Salary,42564.88
TXN0530040,2025-08-03,DEBIT,611.14,Salary,41953.74
TXN0530041,2025-08-04,DEBIT,45.89,Salary,41907.85
TXN0530042,2025-08-05,TRANSFER,648.95,Transfer to Savings,42556.8
TXN0530043,2025-08-06,CREDIT,822.15,Restaurant,43378.95
TXN0530044,2025-08-07,DEBIT,575.36,Electric Bill,42803.59
