TransactionID,Date,Type,Amount,Description,Balance
TXN0670000,2025-10-31,DEBIT,55.84,Transfer to Savings,1162.67
TXN0670001,2025-11-01,CREDIT,33.89,Amazon,1196.56
TXN0670002,2025-11-02,DEBIT,320.18,Salary,876.38
TXN0670003,2025-11-03,PAYMENT,122.08,Transfer to Savings,754.3
TXN0670004,2025-11-04,PAYMENT,231.63,Transfer to Savings,522.67
TXN0670005,2025-11-05,TRANSFER,791.7,Walmart,1314.37
TXN0670006,2025-11-06,PAYMENT,833.01,Transfer to Savings,481.36
TXN0670007,2025-11-07,TRANSFER,822.22,Transfer to Savings,1303.58
TXN0670008,2025-11-08,DEBIT,872.76,Restaurant,430.82
TXN0670009,2025-11-09,TRANSFER,97.03,Transfer to Savings,527.85
TXN0670010,2025-11-10,TRANSFER,95.87,Restaurant,623.72
TXN0670011,2025-11-11,PAYMENT,491.34,Coffee Shop,132.38
TXN0670012,2025-11-12,CREDIT,413.85,Amazon,546.23
TXN0670013,2025-11-13,DEBIT,33.25,Salary,512.98
TXN0670014,2025-11-14,PAYMENT,114.45,Salary,398.53
TXN0670015,2025-11-15,CREDIT,79.66,Salary,478.19
TXN0670016,2025-11-16,DEBIT,783.03,Transfer to Savings,-304.84
TXN0670017,2025-11-17,CREDIT,932.09,Electric Bill,627.25
TXN0670018,2025-11-18,CREDIT,820.21,Restaurant,1447.46
TXN0670019,2025-11-19,CREDIT,58.94,Electric Bill,1506.4
TXN0670020,2025-11-20,TRANSFER,701.11,Coffee Shop,2207.51
TXN0670021,2025-11-21,CREDIT,880.83,Restaurant,3088.34
TXN0670022,2025-11-22,TRANSFER,868.51,Restaurant,3956.85
TXN0670023,2025-11-23,TRANSFER,970.24,Walmart,4927.09
TXN0670024,2025-11-24,CREDIT,72.68,Salary,4999.77
TXN0670025,2025-11-25,CREDIT,388.3,Transfer to Savings,5388.07
TXN0670026,2025-11-26,PAYMENT,356.26,Transfer to Savings,5031.81
TXN0670027,2025-11-27,TRANSFER,362.34,Walmart,5394.15
TXN0670028,2025-11-28,CREDIT,753.26,Amazon,6147.41
TXN0670029,2025-11-29,DEBIT,618.23,Salary,5529.18
TXN0670030,2025-11-30,CREDIT,348.71,Restaurant,5877.89
TXN0670031,2025-12-01,CREDIT,25.23,Restaurant,5903.12
TXN0670032,2025-12-02,DEBIT,211.81,Transfer to Savings,5691.31
TXN0670033,2025-12-03,TRANSFER,140.7,Amazon,5832.01
TXN0670034,2025-12-04,TRANSFER,604.06,Transfer to Savings,6436.07
TXN0670035,2025-12-05,TRANSFER,478.33,Electric Bill,6914.4
TXN0670036,2025-12-06,DEBIT,662.69,Salary,6251.71
TXN0670037,2025-12-07,CREDIT,552.88,Electric Bill,6804.59
TXN0670038,2025-12-08,CREDIT,77.27,Salary,6881.86
