TransactionID,Date,Type,Amount,Description,Balance
TXN0950000,2025-05-30,TRANSFER,241.74,Electric Bill,11044.19
TXN0950001,2025-05-31,TRANSFER,874.54,Amazon,11918.73
TXN0950002,2025-06-01,PAYMENT,866.73,Coffee Shop,11052.0
TXN0950003,2025-06-02,PAYMENT,265.14,Salary,10786.86
TXN0950004,2025-06-03,PAYMENT,270.83,Salary,10516.03
TXN0950005,2025-06-04,DEBIT,702.91,Coffee Shop,9813.12
TXN0950006,2025-06-05,PAYMENT,156.58,Restaurant,9656.54
TXN0950007,2025-06-06,TRANSFER,478.12,Coffee Shop,10134.66
TXN0950008,2025-06-07,PAYMENT,750.06,Walmart,9384.6
TXN0950009,2025-06-08,TRANSFER,126.24,Walmart,9510.84
TXN0950010,2025-06-09,CREDIT,635.18,Electric Bill,10146.02
TXN0950011,2025-06-10,DEBIT,857.94,Electric Bill,9288.08
TXN0950012,2025-06-11,PAYMENT,383.52,Salary,8904.56
TXN0950013,2025-06-12,CREDIT,305.59,Electric Bill,9210.15
TXN0950014,2025-06-13,CREDIT,111.66,Walmart,9321.81
TXN0950015,2025-06-14,PAYMENT,872.41,Walmart,8449.4
TXN0950016,2025-06-15,PAYMENT,732.32,Transfer to Savings,7717.08
TXN0950017,2025-06-16,DEBIT,194.0,Transfer to Savings,7523.08
TXN0950018,2025-06-17,CREDIT,56.23,Transfer to Savings,7579.31
TXN0950019,2025-06-18,CREDIT,320.1,Walmart,7899.41
TXN0950020,2025-06-19,TRANSFER,987.52,Walmart,8886.93
TXN0950021,2025-06-20,CREDIT,820.2,Coffee Shop,9707.13
TXN0950022,2025-06-21,TRANSFER,181.65,Electric Bill,9888.78
TXN0950023,2025-06-22,PAYMENT,554.01,Salary,9334.77
TXN0950024,2025-06-23,CREDIT,545.05,Coffee Shop,9879.82
TXN0950025,2025-06-24,PAYMENT,529.01,Walmart,9350.81
TXN0950026,2025-06-25,DEBIT,961.23,Electric Bill,8389.58
TXN0950027,2025-06-26,CREDIT,214.34,Restaurant,8603.92
TXN0950028,2025-06-27,PAYMENT,24.53,Amazon,8579.39
TXN0950029,2025-06-28,DEBIT,217.67,Electric Bill,8361.72
TXN0950030,2025-06-29,DEBIT,467.05,Coffee Shop,7894.67
TXN0950031,2025-06-30,CREDIT,317.57,Restaurant,8212.24
TXN0950032,2025-07-01,PAYMENT,610.35,Restaurant,7601.89
TXN0950033,2025-07-02,TRANSFER,870.57,Coffee Shop,8472.46
TXN0950034,2025-07-03,TRANSFER,437.81,Salary,8910.27
TXN0950035,2025-07-04,DEBIT,950.77,Walmart,7959.5
TXN0950036,2025-07-05,DEBIT,373.95,Electric Bill,7585.55
TXN0950037,2025-07-06,DEBIT,776.08,Transfer to Savings,6809.47
TXN0950038,2025-07-07,TRANSFER,441.34,Restaurant,7250.81
