Account_ID,Customer_ID,Open_Date,Currency,Balance,Status,Product_Code
ACCT-55A69613,CUST-A5D4BC45,1981-06-22,GBP,913847.16,Suspended,PRD-198
ACCT-E739D820,CUST-D56818B2,1981-01-25,EUR,320296.6,Suspended,PRD-462
ACCT-5B418A28,CUST-A93486F1,1981-11-09,USD,251791.29,Active,PRD-124
ACCT-F88500FF,CUST-5D7DC479,1989-01-02,USD,857862.3,Active,PRD-114
ACCT-DAB9B356,CUST-4B952E18,1994-11-01,EUR,228439.71,Active,PRD-114
ACCT-302F500F,CUST-0F83E149,1989-04-21,EUR,299163.33,Closed,PRD-318
ACCT-6DBFA073,CUST-DF88492E,1987-10-01,EUR,355631.23,Active,PRD-508
ACCT-159A97EE,CUST-4C7E56CF,2004-06-14,USD,654903.56,Suspended,PRD-637
ACCT-61BC430B,CUST-2215D847,1983-02-09,JPY,537065.52,Active,PRD-132
ACCT-71CEE1E6,CUST-E377EDEE,2004-04-20,USD,892765.3,Suspended,PRD-526
ACCT-C49B7D10,CUST-49130E93,2002-09-25,JPY,414039.22,Suspended,PRD-721
ACCT-BE89CC70,CUST-1E49425B,1996-08-27,USD,797741.68,Closed,PRD-939
ACCT-4A213DAD,CUST-601D893E,1986-12-19,GBP,504915.22,Closed,PRD-101
ACCT-379C4835,CUST-BE666EFB,1997-04-15,JPY,903092.93,Active,PRD-392
ACCT-D9996D67,CUST-C113031B,1980-08-29,USD,191928.43,Closed,PRD-175
ACCT-BBB6E873,CUST-8ABD2BD7,1991-09-19,EUR,716918.66,Closed,PRD-506
ACCT-0F95613A,CUST-832B8F60,2004-02-16,GBP,843698.43,Suspended,PRD-474
ACCT-39E71EC3,CUST-C27E17E7,1984-12-26,EUR,505768.39,Suspended,PRD-515
ACCT-6C135F65,CUST-6C0162B5,2004-12-04,EUR,105351.36,Active,PRD-825
ACCT-7C0F880C,CUST-0659292B,1995-09-25,JPY,925950.22,Active,PRD-803
ACCT-02FDBB0E,CUST-BE487674,1999-10-28,USD,61584.4,Suspended,PRD-921
ACCT-9E7ACDA7,CUST-C3066CAF,1983-02-26,USD,55762.05,Closed,PRD-718
ACCT-889642A9,CUST-2BF7804D,1989-08-27,GBP,393329.31,Closed,PRD-922
ACCT-C3697294,CUST-9B12CCAD,1982-08-14,USD,421222.49,Active,PRD-915
ACCT-66CF023E,CUST-BE666EFB,1992-09-06,EUR,755943.79,Suspended,PRD-491
ACCT-B18C1BA1,CUST-98912CA3,1981-05-29,EUR,591170.15,Suspended,PRD-705
ACCT-8E2DD8FE,CUST-7C8C5003,2005-01-26,JPY,778357.15,Suspended,PRD-837
ACCT-C8494374,CUST-64EF255E,1982-05-29,USD,108435.58,Suspended,PRD-458
ACCT-AE1662C5,CUST-8CA46973,1989-10-14,GBP,794581.51,Closed,PRD-496
ACCT-F6DE4506,CUST-6E243A6C,1985-06-22,EUR,540062.92,Closed,PRD-637
ACCT-6C0DA3EF,CUST-27978B6B,1996-10-08,GBP,42995.15,Closed,PRD-189
ACCT-C344EF40,CUST-DE48987E,1980-06-20,GBP,20519.11,Active,PRD-802
ACCT-AE7FE32C,CUST-83B5DFB2,2005-10-24,GBP,996695.25,Closed,PRD-393
ACCT-E6A7C968,CUST-DE48987E,1996-10-05,USD,24116.81,Closed,PRD-427
ACCT-9B41C41F,CUST-653910A0,1993-04-01,USD,106548.37,Closed,PRD-554
ACCT-EB71A1E8,CUST-A5D4BC45,2004-07-18,USD,77932.56,Closed,PRD-305
ACCT-F7653352,CUST-F9FCA41A,1986-12-05,GBP,497749.35,Active,PRD-214
ACCT-1696C441,CUST-F0555839,1986-07-23,EUR,599685.46,Closed,PRD-662
ACCT-9B2FA3D2,CUST-B9644054,1988-07-17,JPY,136790.33,Suspended,PRD-893
ACCT-76CC282A,CUST-EDFC9576,1982-03-07,GBP,985409.06,Closed,PRD-338
ACCT-8F1E629D,CUST-FE33A5C6,1993-08-04,USD,415993.56,Active,PRD-759
ACCT-5FCC23D6,CUST-A0D9E735,1985-05-27,GBP,531343.72,Suspended,PRD-442
ACCT-DD12CC15,CUST-BB29EE43,1999-05-26,USD,947784.37,Closed,PRD-159
ACCT-8EE28566,CUST-01928B06,1986-01-10,EUR,964242.43,Closed,PRD-483
ACCT-E1EF5738,CUST-4C394023,1991-02-15,GBP,658278.97,Suspended,PRD-666
ACCT-C3191E61,CUST-64EF255E,1999-03-09,GBP,494815.61,Closed,PRD-466
ACCT-6408A5CF,CUST-405B8E86,2002-06-18,JPY,606276.85,Closed,PRD-510
ACCT-7CF7DAE8,CUST-C113031B,1996-03-12,USD,211359.93,Closed,PRD-190
ACCT-FF4E517D,CUST-0659292B,2003-02-26,GBP,907788.34,Suspended,PRD-810
ACCT-E06028A8,CUST-5A0AB581,1984-01-21,USD,839136.14,Suspended,PRD-833
ACCT-2F2EEE13,CUST-6C0162B5,1989-11-06,JPY,16428.74,Closed,PRD-258
ACCT-1A1C082D,CUST-5C51C699,1999-11-25,USD,871191.76,Closed,PRD-347
ACCT-A3EBC622,CUST-C27E17E7,1983-05-12,USD,880787.93,Suspended,PRD-872
ACCT-556AF053,CUST-A15FE6C3,1983-01-31,JPY,928702.67,Closed,PRD-944
ACCT-07EBD6F6,CUST-194249A3,1997-10-08,EUR,44582.9,Suspended,PRD-626
ACCT-1560E0AC,CUST-49E748C8,1984-10-21,GBP,280815.34,Closed,PRD-500
ACCT-2006292B,CUST-ACC03C85,1988-04-29,GBP,937588.13,Closed,PRD-748
ACCT-A11C1232,CUST-FB044B2E,1988-01-09,EUR,826014.5,Suspended,PRD-466
ACCT-EFA8A2F8,CUST-C27E17E7,2005-12-04,JPY,520973.01,Active,PRD-956
ACCT-C15ABBBD,CUST-8F0521FC,1996-05-20,JPY,384413.26,Suspended,PRD-627
ACCT-459B7ADC,CUST-49130E93,1981-01-10,GBP,506975.19,Suspended,PRD-971
ACCT-EBAFC006,CUST-2E260367,1993-09-26,EUR,267982.95,Suspended,PRD-542
ACCT-BE7FD1BD,CUST-72707606,1980-01-25,GBP,335694.55,Closed,PRD-472
ACCT-92C41A7A,CUST-9D00BACE,1985-11-12,GBP,284528.66,Active,PRD-796
ACCT-1C949248,CUST-C3066CAF,2001-02-20,GBP,764772.85,Closed,PRD-408
ACCT-778BF1C5,CUST-CFD8723D,1984-03-03,JPY,680835.91,Closed,PRD-943
ACCT-F0FDAF3E,CUST-C113031B,2004-09-16,JPY,586512.61,Closed,PRD-717
ACCT-54D1F22A,CUST-CFD8723D,1990-03-21,GBP,987334.66,Active,PRD-192
ACCT-323F7ADD,CUST-2BF7804D,1990-02-23,JPY,656262.94,Closed,PRD-969
ACCT-516B4F31,CUST-675AB038,1998-10-17,USD,574715.05,Active,PRD-247
ACCT-938EEC12,CUST-553D95EB,2000-11-28,JPY,53292.63,Suspended,PRD-708
ACCT-A3FAACC1,CUST-6C0162B5,1987-06-11,USD,11629.31,Suspended,PRD-341
ACCT-993B2C21,CUST-DE48987E,2005-07-28,JPY,349688.43,Closed,PRD-483
ACCT-C2FF4122,CUST-A93486F1,1990-03-05,GBP,439610.68,Active,PRD-696
ACCT-775A60CF,CUST-FA76B67B,1984-12-05,USD,834108.07,Active,PRD-716
ACCT-751A0340,CUST-F3885E9B,1990-11-23,GBP,81865.93,Suspended,PRD-603
ACCT-26EBD866,CUST-4E16F18F,1984-09-24,GBP,674006.31,Suspended,PRD-776
ACCT-58E6E48A,CUST-1729A781,1990-03-30,JPY,433063.44,Suspended,PRD-680
ACCT-F9E6CF26,CUST-DF679C42,1981-12-25,GBP,840090.76,Active,PRD-293
ACCT-897D1537,CUST-9EFDD421,1989-12-30,USD,942541.41,Active,PRD-655
ACCT-B048AE42,CUST-8129B8D2,1991-10-26,USD,635682.35,Suspended,PRD-158
ACCT-DEF2C899,CUST-143C2607,1991-03-25,USD,380304.93,Active,PRD-642
ACCT-C9C43ED8,CUST-640EF3D4,1989-11-13,USD,404072.35,Suspended,PRD-770
ACCT-97CDB5AD,CUST-2215D847,1981-07-04,GBP,527840.67,Closed,PRD-239
ACCT-2C7EFFC6,CUST-A15FE6C3,2002-06-18,USD,644604.85,Closed,PRD-388
ACCT-3420EB2F,CUST-49E748C8,1990-06-17,JPY,742387.5,Active,PRD-573
ACCT-02CE59AD,CUST-392EFF0C,1988-05-01,JPY,461625.48,Closed,PRD-750
ACCT-422051F0,CUST-B53EC967,1996-01-28,GBP,377953.33,Suspended,PRD-437
ACCT-D150D5E9,CUST-CFD8723D,1982-01-16,GBP,856049.16,Closed,PRD-975
ACCT-D2F81A7C,CUST-CEAC21AA,2000-09-18,USD,535184.55,Closed,PRD-215
ACCT-883AF8D2,CUST-98C98603,1993-11-07,JPY,210127.0,Closed,PRD-944
ACCT-A9531F51,CUST-8F0521FC,2005-07-20,JPY,487659.84,Active,PRD-719
ACCT-514AFC46,CUST-392EFF0C,2003-01-03,GBP,899545.08,Active,PRD-829
ACCT-8D3E0EE2,CUST-5CF6DBAD,1997-10-22,USD,605996.65,Closed,PRD-806
ACCT-8FDDCFCA,CUST-27978B6B,2004-07-19,EUR,172450.92,Suspended,PRD-661
ACCT-FEE8FF51,CUST-14A5807D,1999-08-04,USD,944917.49,Suspended,PRD-342
ACCT-ABBE9103,CUST-6428C515,1993-12-09,EUR,660849.05,Active,PRD-512
