Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-8570D8C0-AEF,ACCT-81DE7FBE,1990-09-09,4780.75,FEE,Txn Ref 927926,Phone
TXN-BE1584BB-D43,ACCT-20E6075B,1990-12-07,7217.31,INTEREST,Txn Ref 106126,Phone
TXN-2C0E02AD-6E9,ACCT-9198315C,2005-04-11,-4407.58,INTEREST,Txn Ref 676827,Cheque
TXN-6AF965B4-699,ACCT-9C294C27,2000-07-09,-1331.81,INTEREST,Txn Ref 982352,Phone
TXN-771D7E5F-B80,ACCT-E171C3C0,1994-07-18,9123.0,DEBIT,Txn Ref 918753,Phone
TXN-B3B0CDFF-FCB,ACCT-B791603C,1995-10-29,8456.15,INTEREST,Txn Ref 357772,ATM
TXN-EDCCBB8F-1F3,ACCT-6105520C,2005-04-16,2303.2,INTEREST,Txn Ref 860452,ATM
TXN-218AFB34-315,ACCT-632F9972,1990-05-27,-283.57,CREDIT,Txn Ref 541362,Branch
TXN-81E4E74C-984,ACCT-21982338,2002-11-20,9483.16,FEE,Txn Ref 973614,Phone
TXN-8428E68D-5E8,ACCT-116864F9,1998-06-23,563.65,FEE,Txn Ref 943545,Phone
TXN-4C438A3A-249,ACCT-F14A2233,2002-09-14,4395.83,DEBIT,Txn Ref 412885,Cheque
TXN-B045F905-B80,ACCT-36115927,1989-12-01,3912.99,DEBIT,Txn Ref 607519,Cheque
TXN-D0134A3C-FDC,ACCT-51F981DC,1996-02-22,-4979.76,INTEREST,Txn Ref 599110,ATM
TXN-F0B9885B-7E0,ACCT-FA5E4CE4,2001-10-11,8342.86,DEBIT,Txn Ref 357595,Phone
TXN-8F305F05-D57,ACCT-8239F05A,1993-04-18,-1141.91,TRANSFER,Txn Ref 330287,Branch
TXN-B4CB3108-9E7,ACCT-F765A8AE,1990-04-17,1918.63,FEE,Txn Ref 340930,Phone
TXN-35666EE5-099,ACCT-E171C3C0,1990-06-04,389.95,INTEREST,Txn Ref 130806,ATM
TXN-E1F9DF5F-5A8,ACCT-9D9BB3D4,1989-12-30,4883.02,CREDIT,Txn Ref 167254,Cheque
TXN-2C414CD6-37F,ACCT-B1087999,1987-12-28,9568.36,DEBIT,Txn Ref 695662,ATM
TXN-0997FF56-2FD,ACCT-4134B297,2003-10-15,7047.84,INTEREST,Txn Ref 708672,Phone
TXN-5D95510C-99C,ACCT-72A7C21B,2002-05-30,-2447.61,CREDIT,Txn Ref 732689,Phone
TXN-BDC55731-C0F,ACCT-6105520C,1993-08-12,-3039.3,CREDIT,Txn Ref 293020,Phone
TXN-20B44AA8-9C4,ACCT-C270C379,1999-03-21,-3407.75,DEBIT,Txn Ref 306268,Phone
TXN-E794F1DD-119,ACCT-14B72557,1996-05-17,-3885.23,INTEREST,Txn Ref 579481,ATM
TXN-3E9B4B8C-C43,ACCT-49D26B65,1993-08-28,2094.2,TRANSFER,Txn Ref 797457,ATM
TXN-BB55FC9C-836,ACCT-FD21E983,1996-11-13,-3349.28,CREDIT,Txn Ref 399610,Phone
TXN-2E732CFB-0BC,ACCT-2CA701C4,1989-10-12,-2355.42,CREDIT,Txn Ref 451539,Cheque
TXN-82CC3678-708,ACCT-45371D88,2004-08-21,-3280.36,INTEREST,Txn Ref 645370,Branch
TXN-FD02BAA6-362,ACCT-44092426,1998-09-04,-2822.58,TRANSFER,Txn Ref 323315,Cheque
TXN-D2E9A339-9A7,ACCT-E171C3C0,2000-03-20,-4266.29,TRANSFER,Txn Ref 877688,Branch
TXN-AEE3365F-AD7,ACCT-E8FF82FE,1993-03-21,-131.03,INTEREST,Txn Ref 942169,Cheque
