Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-91979462-DD1,ACCT-72A52D65,1992-05-13,8463.32,DEBIT,Txn Ref 574878,Branch
TXN-BE93F0A9-120,ACCT-4285D8D4,1992-01-25,-3702.4,INTEREST,Txn Ref 290930,ATM
TXN-94AE8AB9-D86,ACCT-CD2143AD,1997-06-07,-2769.48,INTEREST,Txn Ref 537183,Phone
TXN-73C9E425-F1F,ACCT-33FCF7E0,1995-03-18,-1757.98,INTEREST,Txn Ref 227775,ATM
TXN-50C3F5A8-6AD,ACCT-54FF7620,2001-06-16,7378.95,FEE,Txn Ref 867363,Branch
TXN-9AFE7355-491,ACCT-94D1FD4B,1996-12-12,-2593.92,CREDIT,Txn Ref 722199,ATM
TXN-652081DC-B5C,ACCT-3727FE76,1985-05-02,8086.28,TRANSFER,Txn Ref 688738,Cheque
TXN-6C25923E-334,ACCT-D8A50B9E,2003-07-13,2972.58,INTEREST,Txn Ref 347302,ATM
TXN-AAD21DF7-6F9,ACCT-B6E35E92,1995-01-04,-125.34,FEE,Txn Ref 361898,Branch
TXN-35D8B955-088,ACCT-DDF0E424,1995-05-02,4621.43,CREDIT,Txn Ref 474912,ATM
TXN-5D0819CF-6E4,ACCT-90F2DE12,1988-08-02,8134.77,FEE,Txn Ref 218361,Cheque
TXN-95549717-0B3,ACCT-E7118594,1987-10-31,-4750.52,CREDIT,Txn Ref 297007,Branch
TXN-9F94E404-8A2,ACCT-E168E500,1993-11-24,807.15,INTEREST,Txn Ref 609398,ATM
TXN-E73499C4-7A4,ACCT-F00A524D,1995-09-09,-1259.82,INTEREST,Txn Ref 735838,Phone
TXN-AC1603CC-C80,ACCT-F15B066E,1988-03-04,5660.6,FEE,Txn Ref 578348,Cheque
TXN-C90B6688-E71,ACCT-5F2170E6,2003-03-27,-646.24,INTEREST,Txn Ref 379709,ATM
TXN-C31DFCEC-F98,ACCT-3727FE76,1999-02-26,9099.78,TRANSFER,Txn Ref 713077,ATM
TXN-240BB95D-393,ACCT-7B96A849,1987-04-11,7296.07,DEBIT,Txn Ref 216765,Branch
TXN-8C1AC719-1E6,ACCT-D5892ECB,1990-11-07,1435.23,TRANSFER,Txn Ref 187620,ATM
TXN-2DD06725-17A,ACCT-8A648BD5,1995-06-26,5712.68,TRANSFER,Txn Ref 895280,Branch
TXN-C764BF5F-619,ACCT-0DB1474D,2004-12-26,5967.6,FEE,Txn Ref 855394,Cheque
TXN-59FFDD48-803,ACCT-F92184EE,2005-05-26,7565.71,FEE,Txn Ref 221055,Phone
